2009-05 7
2009-06 11
2009-07 14
2009-08 5
2009-09 4
2009-10 2
2009-11 2
2010-02 3
2010-03 2
2010-04 7
2010-05 6
2010-06 20
2010-07 30
2010-08 31
2010-09 16
2010-10 38
2010-11 53
2010-12 24
2011-01 46
2011-02 17
2011-03 22
2011-04 73
2011-05 72
2011-06 103
2011-07 132
2011-08 43
2011-09 62
2011-10 8
2011-11 3
2011-12 9
2012-01 1
2012-02 2
2012-04 10
2012-05 2
2012-09 1
2012-10 1
2012-12 32
2013-01 20
2013-05 14
2013-06 16
2013-08 1
2013-09 50
2013-10 28
2013-12 27
2014-01 29
2014-02 3
2014-03 3
2014-04 1
2014-06 17
2014-07 7
2014-08 5
2014-09 41
2014-10 30
2014-11 10
2015-02 1
2015-03 13
2015-04 28
2015-05 16
2015-06 18
2015-07 39
2015-08 25
2015-09 44
2015-10 5
2015-11 2
2015-12 8
2016-01 29
2016-02 33
2016-03 44
2016-04 53
2016-05 15
2016-06 45
2016-07 62
2016-08 31
2016-09 20
2016-10 16
2016-11 13
2016-12 2
2017-02 1
2017-06 1
2017-07 28
2017-08 57
2017-09 27
2017-10 36
2017-11 45
2017-12 3
2018-01 1
2018-02 3
2018-03 3
2018-04 9
2018-05 1
2018-08 2
2018-10 5
2018-11 4
2018-12 3
2019-01 18
2019-04 1
