yahoo.com 1 405
patsenker.com 2 110
rpi.edu 3 6
gmail.com 4 6
? 5 5
lava-tube--206.dynamic.rpi.edu 6 3
lava-tube--96.dynamic.rpi.edu 7 1
folsom-wl-233.dynamic2.rpi.edu 8 1
crockett-60.dynamic2.rpi.edu 9 1
cinder-cone-166.dynamic.rpi.edu 10 1
