1548193736 0 0 1
1548451528 0 0 2
1548451548 1 0 2
1548451625 1 0 3
1548451694 1 0 4
1548451944 2 0 4
1548452169 3 0 4
1548452969 3 1 4
1548458676 3 2 4
1548795696 3 3 4
1548795959 4 3 4
1548796222 5 3 4
1549400001 6 3 4
1549400018 7 3 4
1549400487 8 3 4
1549400770 9 3 4
1549400853 9 3 5
1552421680 9 4 5
1552421741 9 5 5
1552680016 10 5 5
1552680046 11 5 5
1552680200 11 5 6
1552681839 11 6 6
1553026403 12 6 6
1553285388 13 6 6
1554237531 14 6 6
1554237651 15 6 6
1554849641 15 7 6
1554849745 15 7 7
1554849839 15 8 7
1554850223 15 9 7
1555098993 16 9 7
1555173304 17 9 7
1555188845 18 9 7
1555190163 18 10 7
1555377416 18 10 8
1555438504 18 11 8
1555440463 18 12 8
1555440485 18 12 9
1555440595 19 12 9
1555440724 20 12 9
1555559053 20 13 9
